"ccode","irst.1990","irst.1991","irst.1992","irst.1993","irst.1994","irst.1995","irst.1996","irst.1997","irst.1998","irst.1999","irst.2000","irst.2001","irst.2002","irst.2003","irst.2004","irst.2005","irst.2006","irst.2007","milex.1990","milex.1991","milex.1992","milex.1993","milex.1994","milex.1995","milex.1996","milex.1997","milex.1998","milex.1999","milex.2000","milex.2001","milex.2002","milex.2003","milex.2004","milex.2005","milex.2006","milex.2007","milper.1990","milper.1991","milper.1992","milper.1993","milper.1994","milper.1995","milper.1996","milper.1997","milper.1998","milper.1999","milper.2000","milper.2001","milper.2002","milper.2003","milper.2004","milper.2005","milper.2006","milper.2007","pec.1990","pec.1991","pec.1992","pec.1993","pec.1994","pec.1995","pec.1996","pec.1997","pec.1998","pec.1999","pec.2000","pec.2001","pec.2002","pec.2003","pec.2004","pec.2005","pec.2006","pec.2007","tpop.1990","tpop.1991","tpop.1992","tpop.1993","tpop.1994","tpop.1995","tpop.1996","tpop.1997","tpop.1998","tpop.1999","tpop.2000","tpop.2001","tpop.2002","tpop.2003","tpop.2004","tpop.2005","tpop.2006","tpop.2007","upop.1990","upop.1991","upop.1992","upop.1993","upop.1994","upop.1995","upop.1996","upop.1997","upop.1998","upop.1999","upop.2000","upop.2001","upop.2002","upop.2003","upop.2004","upop.2005","upop.2006","upop.2007"
2,89726,79738,84322,88793,91244,95191,95535,98485,98658,97427,101803,90104,91587,93677,99681,94897,98557,98102,289755000,262389000,286892000,297600000,293214000,277834000,277254000,276324000,279702000,292147000,303136000,322365000,348555000,404920000,455908000,495326000,521840000,552568000,2180,2110,1920,1810,1710,1620,1570,1530,1510,1490,1366,1368,1414,1427,1450,1473,1546,1506,3936181,4041865,4154138,4430624,4455146,4678672,4751977,4922493,4977176,5043448,5264636,5224415,5276818,5394710,5527871,5529642,5497134,5548023,249907,252618,255391,258132,260602,262755,265284,267901,274028,276218,278357,285112,287888,290448,293192,295896,298755,301621,64116,64814,65413,66072,66457,66945,67433,68503,69572,70642,75342,76419,77512,78621,79745,80805,81880,82969
20,12281,12987,13924,14387,13897,14415,14735,15553,15930,16235,16595,15276,16002,15929,16305,15327,15493,15572,10280000,11420000,10310000,9600000,9695000,9126000,8624000,7801000,7677000,8395000,8320000,7745000,8522000,10102000,11501000,13224000,15103000,18491000,87,86,82,76,75,70,66,61,60,60,59,57,52,52,57,62,62,63,498385.7,500841,498542.3,517304.7,513871.8,517566,548685.1,577041.7,593114.4,594470,642984.2,658831.9,662650.3,687163.4,699730.5,698313.4,673840.7,707232.1,27701,28031,28377,28703,29036,29354,29672,30004,30563,30857,31147,31021,31373,31676,31995,32312,32649,32976,10070,10455,10686,10918,11149,11381,11612,11751,11892,12035,12178,12323,12470,12618,12768,12905,13043,13183
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65700,48000,17800,-9,20000,19000,22000,22000,26000,26000,30000,29000,28000,33000,34000,36000,48000,58000,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,116.6933,139.4178,143.1028,149.4902,156.9832,160.1769,164.5989,173.6887,188.1833,197.3959,209.4337,218.3842,235.7501,250.0834,262.5909,266.0764,267.6295,269.5831,255,260,264,269,274,279,284,289,296,301,307,308,312,317,321,325,330,334,172,177,182,187,192,195,199,203,207,211,214,217,221,224,228,231,234,238
40,270,270,200,100,131,207,231,342,283,303,336,270,268,210,192,245,257,268,1691000,1160000,-9,-9,356,7e+05,715000,720000,765000,750000,735000,735000,1152000,1192000,1267000,1444000,1668000,-9,297,297,175,175,140,70,70,55,55,50,58,46,46,46,48,49,49,49,18324.7,16549.87,16702.26,14215.17,14825.49,9091.348,10345.42,9545.44,8993.514,10166.13,12463.33,16720.83,13564.22,14384.76,13318.8,11542.54,12297.47,12211.49,10624,10744,10831,10904,10950,10980,11019,11059,11116,11160,11201,11157,11184,11215,11236,11243,11241,11238,4070,4134,4168,4202,4314,4426,4270,4384,4400,4424,4448,4471,4495,4519,4471,4422,4415,4408
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16900,29400,55000,-9,-9,59000,102000,46000,49000,50000,43000,40000,32000,22000,-9,-9,-9,-9,8,8,8,8,0,0,0,0,0,0,-9,3,-9,-9,-9,0,0,1,631.2256,645.9677,663.1716,643.4487,649.1893,690.174,715.515,723.0303,729.7712,748.9739,718.2266,820.0637,813.7001,809.6684,814.0631,819.8079,827.1465,800.1665,6486,6625,6764,6903,7041,7180,7336,7492,7952,8087,8222,8132,8954,9105,9257,9410,9564,9720,1086,1140,1193,1247,1300,1354,1517,1569,1622,1677,1777,1883,1996,2115,2241,2351,2467,2588
42,37,39,33,35,37,40,42,82,36,43,39,36,-9,-9,-9,-9,-9,-9,57210,34790,59000,108000,115000,109000,116000,119000,115000,114000,169000,156000,229000,156000,153000,273000,256000,271000,21,21,22,22,22,22,22,22,25,30,24,24,24,24,24,24,25,25,3370.973,4217.667,4541.326,4911.688,5177.829,5034.207,5259.739,5323.944,5006.941,4728.108,4666.088,5295.974,5607.408,7037.44,7046.179,6694.69,7012.509,6895.24,7170,7320,7471,7620,7769,7915,8052,8097,8232,8364,8495,8688,8823,8958,9093,9226,9360,9493,2194,2240,2267,2329,2510,2692,2873,3055,3236,3417,3599,3780,3344,3437,3532,3618,3706,3797
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32520,24600,19360,27000,28000,28000,28000,42000,45000,51000,42000,40000,56000,52000,53000,56000,57000,108000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2368.199,2176.779,2403.976,1908.16,2155.117,2533.166,2731.6,2878.204,2878.541,1886.861,2989.33,2961.277,3395.669,3028.165,2863.631,2465.37,3247.207,3071.66,2415,2366,2424,2446,2473,2500,2515,2554,2538,2560,2583,2604,2615,2626,2638,2650,2663,2676,194,189,198,272,347,421,495,570,644,718,793,867,874,882,889,893,897,901
52,371,440,553,519,631,738,695,736,777,729,741,668,817,903,815,712,673,682,-9,29000,74000,-9,77000,72000,67000,40000,44000,40000,62000,67000,28000,55000,70000,92000,52000,55000,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,16517.45,18501.18,18792.99,16859.47,18521.52,19873.05,21448.95,19922.86,22931.53,25305.92,27142.44,27907.93,28545.28,29578.07,30867.47,31967.17,36636.51,36046.46,1215,1225,1240,1247,1250,1260,1264,1307,1283,1289,1295,1267,1276,1282,1291,1294,1298,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,-9,-9,12000,13000,14000,14000,12000,13000,12000,13000,13000,13000,24000,24000,26000,27000,28000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,566.186,555.285,432.5954,525.0858,429.7066,479.1643,473.8669,489.5345,181.2961,206.8493,199.5497,190.5505,185.3726,174.874,191.8593,199.178,203.0153,208.5152,257,258,263,264,264,264,264,262,268,269,270,270,271,272,272,273,273,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.650411,5.773246,5.773246,5.773246,6.264586,10.53137,11.88255,12.2835,12.65201,13.02051,13.38902,13.26618,14.55121,13.56853,14.1827,14.05987,14.42837,14.43024,72,71,72,73,74,71,74,71,71,71,71,71,70,70,70,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
