Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27962207
Afghanistan,AFG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,75.1
Afghanistan,AFG,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,366.324812864995
Albania,ALB,"Population, total",SP.POP.TOTL,2913021
Albania,ALB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.8
Albania,ALB,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3604.07977225379
Algeria,DZA,"Population, total",SP.POP.TOTL,36036159
Algeria,DZA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,23.5
Algeria,DZA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3233.17713758566
American Samoa,ASM,"Population, total",SP.POP.TOTL,55636
American Samoa,ASM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
American Samoa,ASM,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..
Andorra,ADO,"Population, total",SP.POP.TOTL,84419
Andorra,ADO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.5
Andorra,ADO,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,33512.0155315848
Angola,AGO,"Population, total",SP.POP.TOTL,21219954
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,109.6
Angola,AGO,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,87233
Antigua and Barbuda,ATG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.7
Antigua and Barbuda,ATG,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,11602.1422266268
Argentina,ARG,"Population, total",SP.POP.TOTL,41222875
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13
Argentina,ARG,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,7076.30127208877
Armenia,ARM,"Population, total",SP.POP.TOTL,2963496
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.1
Armenia,ARM,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1997.05226101941
Aruba,ABW,"Population, total",SP.POP.TOTL,101597
Aruba,ABW,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Aruba,ABW,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,..
Australia,AUS,"Population, total",SP.POP.TOTL,22031750
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.1
Australia,AUS,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,36210.3567594062
Austria,AUT,"Population, total",SP.POP.TOTL,8363404
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.6
Austria,AUT,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,40119.0830118365
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,33.9
Azerbaijan,AZE,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3126.72404038035
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,360830
"Bahamas, The",BHS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.4
"Bahamas, The",BHS,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,21109.0693815754
Bahrain,BHR,"Population, total",SP.POP.TOTL,1261319
Bahrain,BHR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.1
Bahrain,BHR,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,16591.8131412483
Bangladesh,BGD,"Population, total",SP.POP.TOTL,151616777
Bangladesh,BGD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.2
Bangladesh,BGD,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,614.948382131348
Barbados,BRB,"Population, total",SP.POP.TOTL,279566
Barbados,BRB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.6
Barbados,BRB,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,14482.0193695146
Belarus,BLR,"Population, total",SP.POP.TOTL,9490000
Belarus,BLR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.7
Belarus,BLR,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,4524.15816791108
Belgium,BEL,"Population, total",SP.POP.TOTL,10920272
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.6
Belgium,BEL,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,38006.9012219214
Belize,BLZ,"Population, total",SP.POP.TOTL,321609
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16.3
Belize,BLZ,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3935.10093956136
Benin,BEN,"Population, total",SP.POP.TOTL,9509798
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,71
Benin,BEN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,609.916341323773
Bermuda,BMU,"Population, total",SP.POP.TOTL,65124
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Bermuda,BMU,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,76393.8313843748
Bhutan,BTN,"Population, total",SP.POP.TOTL,720246
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,34.1
Bhutan,BTN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1788.57864497422
Bolivia,BOL,"Population, total",SP.POP.TOTL,9918245
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.8
Bolivia,BOL,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,1205.2446772042
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3835258
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.4
Bosnia and Herzegovina,BIH,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,3324.75559930918
Botswana,BWA,"Population, total",SP.POP.TOTL,2047831
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,39.8
Botswana,BWA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,6061.01327324626
Brazil,BRA,"Population, total",SP.POP.TOTL,198614208
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,14.8
Brazil,BRA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,5580.94291106739
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,393302
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.7
Brunei Darussalam,BRN,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,25043.6107294163
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.2
Bulgaria,BGR,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,4692.72996042982
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,15632066
Burkina Faso,BFA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,69.7
Burkina Faso,BFA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,469.994714424331
Burundi,BDI,"Population, total",SP.POP.TOTL,9461117
Burundi,BDI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,63.8
Burundi,BDI,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,147.104249780329
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,490379
