"country","year","warstns","ln_popns","ln_gdpen","pt8","dlang","drace","drel","ef","ef2","ehet","elfo","elfo2","numlang","plural","plurrel","relfrac","etdo4590","second","auto4","dem","dem4","exrec","mirps2","mirps3","parcomp","parreg","part","pol4","pol4m","polcomp","reg","sip2","xconst","anoc","mirps0","mirps1","partfree","pol4sq","ager","autch98","demch98","durable","inst3","nwstate","p4mchg","polch98","proxregc","incumb","inst","major","presi","autonomy","centpol3","fedpol3","semipol3","avgnabo","nmdgdp","nmdp4_alt","regd4_alt","geo1","geo2","geo34","geo57","geo69","geo8","nat_war","tnatwar","gdpgrowth","expgdp","trade","illiteracy","infant","life","pri","seceduc","agexp","fuelexp","manuexp","oil","sxpnew","sxpsq","lmtnest","ncontig","popdense","army85","milper","decade1","decade2","decade3","decade4","coldwar","warhist"
"Afghanistan",1960,0,16.4246978759766,-0.740238785743713,0.0625,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,10,0,0,2,1,0,1,4,1,-10,-10,1,1,0,1,0,0,0,-0.390414294285595,100,90,-0.282767873863973,-0.103495021135438,59,0,0,0,0.144928244253097,3.00926553810506e-36,0,0,0.398574149572335,0.137507914282141,0,1,0,0,0,0.234463334083557,-7.5,2,0,0,0,1,0,0,0,0,0.0319933475192657,34.4167657860732,45.3463088178226,75.1577027579077,156.174230983831,45.6996329681884,34.6254240674035,-4.25016116484701,16.0559451243882,2.52143343276867,22.4740531981935,0,0.226546479717157,0.125563925099896,4.19870519638062,0,229.126018487019,15034.8618216425,606.455328068277,1,0,0,0,1,-0.0770322457483815
"Afghanistan",1961,0,16.4359664916992,-0.685178995132446,0.057312752700292,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,10,0,0,2,1,0,1,4,1,-10,-10,1,1,0,1,0,0,0,0,100,91,0.0117836045652642,0.131979312113751,60,0,0,0,0.134792235884388,7.52316384526264e-37,0,0,0,0,0,1,0,0,0,0.20451882481575,-7.5,-1,0,0,0,1,0,0,0,0,-0.048181211790223,4.13223314285278,11.1570301055908,108.035367973294,202.223817172914,34,9,1,36.2994363849343,-9.64261078162482,20.2711561888926,0,0.0470198388586545,0.0529837036722935,4.19870519638062,0,15.6618604660034,47000,60,1,0,0,0,1,0
"Afghanistan",1962,0,16.4479026794434,-0.596020460128784,0.0525560259533572,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,10,0,0,2,1,0,1,4,1,-10,-10,1,1,0,1,0,0,0,0,100,92,0,0,61,0,0,0,0,1.88079096131566e-37,0,0,0,0,0,1,0,0,0,0.211182996630669,-7.5,-3,0,0,0,1,0,0,0,0,0.0775890185668413,4.45344400405884,12.550609588623,90.1348754897302,195.300498725218,34,9,1,22.3875428588105,-13.3589248096132,4.68412117339184,0,0.129855604064564,0.0170424470330413,4.19870519638062,0,15.9827499389648,47000,77,1,0,0,0,1,0
"Afghanistan",1963,0,16.4600524902344,-0.576253473758698,0.0481940882939981,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,10,0,0,2,1,0,1,4,1,-10,-10,1,1,0,1,0,0,0,0,100,93,0,0,62,0,0,0,0,4.70197740328915e-38,0,0,0,0,0,1,0,0,0,0.238909423351288,-7.5,-3,0,0,0,1,0,0,0,0,-0.0045022811218474,4.87805080413818,14.2276401519775,101.936529635222,208.245082001796,34,9,1,52.6936173661839,-14.5828228997977,-4.65280927210695,0,0.118409647540836,0.100385527949398,4.19870519638062,0,16.3210391998291,47000,90,1,0,0,0,1,0
"Afghanistan",1964,0,16.4710025787354,-0.534435451030731,0.0441941738241592,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,10,0,0,2,1,0,1,4,1,-10,-10,1,1,0,1,0,0,0,0,100,94,0,0,63,1,0,0,0,1.17549435082229e-38,0,0,0,0,0,1,0,0,0.00789240002632141,0.308940380811691,-7.5,-1.5,0,0,0,1,0,0,0,0,-0.050375784047442,9.17160129547119,26.0355091094971,120.847247817381,215.556781251145,34,9,1,61.1004981994629,-18.7313886184744,9.46735954284668,0,0.21284884391092,0.0949353016770838,4.19870519638062,0,16.6755199432373,47000,100,1,0,0,0,1,0
"Afghanistan",1965,0,16.4814186096191,-0.478035807609558,0.0405262360828441,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,2,1,0,2,4,1,-7,-7,2,1,0.111111097037792,3,0,0,0,0,49,95,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0.00789240002632141,0.415093332529068,-7.5,-1.5,0,0,0,1,0,0,0,0,0.0692476843336941,8.88889312744141,26.944450378418,105.656938860462,209.919322226581,34,9,1,54.4371604919434,13.4810507444231,12.8794298171997,0,0.155085239299806,0.0498853118151175,4.19870519638062,0,17.0451908111572,47000,100,1,0,0,0,1,0
"Afghanistan",1966,0,16.491382598877,-0.436955720186234,0.037162722343835,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,2,1,0,2,4,1,-7,-7,2,1,0.111111097037792,3,0,0,0,0,49,96,-3,0,1,1,0,0,3,0.25,0,0,0,0,0,1,0,0,0.00789240002632141,0.469996303319931,-7.5,-2,0,0,0,1,0,0,0,0,-0.0438935993716193,11.258279800415,32.6710815429688,102.387193212831,211,36,16,2,45.7609405517578,-9.06697067685815,13.0722303390503,0,0.07379250228405,0.0054453331977129,4.19870519638062,0,17.4293003082275,47000,90,1,0,0,0,1,0
"Afghanistan",1967,0,16.5008373260498,-0.318828791379929,0.0340783666457893,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,2,1,0,2,4,1,-7,-7,2,1,0.111111097037792,3,0,0,0,0,49,97,0,0,2,0,0,0,0,0.0625,0,0,0,0,0,1,0,0,0.00789240002632141,0.489311695098877,-8,-2,0,0,0,1,0,0,0,0,0.059613780293297,8.5714282989502,27.1428604125977,91.0319257521621,211,36,16,2,51.7149085998535,-11.7707082664475,12.4569501876831,0,0.051410399377346,0.00264302920550108,4.19870519638062,0,17.8273105621338,47000,90,1,0,0,0,1,0
"Afghanistan",1968,0,16.5098667144775,-0.281037539243698,0.03125,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,2,1,0,2,4,1,-7,-7,2,1,0.111111097037792,3,0,0,0,0,49,98,0,0,3,0,0,0,0,0.015625,0,0,0,0,0,1,0,0,0.00789240002632141,0.519984900951385,-8,-2,0,0,0,1,0,0,1,1,0.0590063491480489,6.77290821075439,20.9827404022217,90.1910149577553,211,36,16,2,46.3557205200195,4.40961790084839,8.02551174163818,0,0.0468190982937813,0.00219202786684036,4.19870519638062,0,18.2389698028564,47000,75,1,0,0,0,1,0
"Afghanistan",1969,0,16.5188827514648,-0.355247437953949,0.028656376350146,70,0,20,0.750796973705292,0.563696086406708,90,66,4356,8,0.379999995231628,84,0.271800011396408,1,0.252999991178513,7,0,0,2,1,0,2,4,1,-7,-7,2,1,0.111111097037792,3,0,0,0,0,49,99,0,0,4,0,0,0,0,0.00390625,0,0,0,0,0,1,0,0,0.00789240002632141,0.563398063182831,-8,-2,0,0,0,1,0,0,1,1,-0.0272410839499956,8.89967632293701,24.1100292205811,103.329573935905,211,36,16,2,38.0920486450195,12.5789499282837,7.24396514892578,0,0.0483724996447563,0.00233989860862494,4.19870519638062,0,18.6641902923584,47000,70,1,0,0,0,1,0
